status	config_sha256	pair_path	pair_sha256	method	converged	iterations	solver_seconds	n_source	n_target
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED.npz	90f32ba4f6841fb386a0d98f9e4ada6344965658e2de3929aaf78db5b90c088a	balanced_ot	True	200	0.20243140001548454	341	273
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED.npz	90f32ba4f6841fb386a0d98f9e4ada6344965658e2de3929aaf78db5b90c088a	uot	True	80	0.07463390001794323	341	273
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED.npz	90f32ba4f6841fb386a0d98f9e4ada6344965658e2de3929aaf78db5b90c088a	row_softmax	True	1	0.0011345999664627016	341	273
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED__reverse.npz	d65c4d3e92550112e8bc27632929e8d49d58e022635be0fd6ce781b3d61e1027	balanced_ot	True	200	0.18546690000221133	273	341
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED__reverse.npz	d65c4d3e92550112e8bc27632929e8d49d58e022635be0fd6ce781b3d61e1027	uot	True	80	0.07066800002939999	273	341
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_A1_CONTROLLED__reverse.npz	d65c4d3e92550112e8bc27632929e8d49d58e022635be0fd6ce781b3d61e1027	row_softmax	True	1	0.0010054000304080546	273	341
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED.npz	84c02c22c26ca42f10dd221a1b81c3b52b48439171e917c8d2026bdf06a70f23	balanced_ot	True	200	0.11532179999630898	269	215
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED.npz	84c02c22c26ca42f10dd221a1b81c3b52b48439171e917c8d2026bdf06a70f23	uot	True	80	0.04746749997138977	269	215
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED.npz	84c02c22c26ca42f10dd221a1b81c3b52b48439171e917c8d2026bdf06a70f23	row_softmax	True	1	0.0007250999915413558	269	215
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED__reverse.npz	ac560bd281489ac47ebb8707baa0a44960de49c497b022b05d32dc09376030df	balanced_ot	True	200	0.11604160000570118	215	269
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED__reverse.npz	ac560bd281489ac47ebb8707baa0a44960de49c497b022b05d32dc09376030df	uot	True	80	0.046296300017274916	215	269
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_B1_CONTROLLED__reverse.npz	ac560bd281489ac47ebb8707baa0a44960de49c497b022b05d32dc09376030df	row_softmax	True	1	0.0005451000179164112	215	269
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED.npz	c00de831f9092f2c89050268365b8810e27351013b8fbf5f8335cf35fa4822bf	balanced_ot	True	200	0.053325299988500774	167	134
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED.npz	c00de831f9092f2c89050268365b8810e27351013b8fbf5f8335cf35fa4822bf	uot	True	80	0.021347299974877387	167	134
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED.npz	c00de831f9092f2c89050268365b8810e27351013b8fbf5f8335cf35fa4822bf	row_softmax	True	1	0.00029659998835995793	167	134
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED__reverse.npz	a3934d89adcd2ea794c57115d7842d15714039ebee50de185742ec92aecd9c25	balanced_ot	True	200	0.05533879995346069	134	167
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED__reverse.npz	a3934d89adcd2ea794c57115d7842d15714039ebee50de185742ec92aecd9c25	uot	True	80	0.02079720003530383	134	167
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_C1_CONTROLLED__reverse.npz	a3934d89adcd2ea794c57115d7842d15714039ebee50de185742ec92aecd9c25	row_softmax	True	1	0.0002652000403031707	134	167
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED.npz	15f9fdb20731869413341f8185fecffb51c2306d1ecc76e7d4f3e08d4c743ab1	balanced_ot	True	200	0.10659360000863671	255	204
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED.npz	15f9fdb20731869413341f8185fecffb51c2306d1ecc76e7d4f3e08d4c743ab1	uot	True	80	0.04273510002531111	255	204
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED.npz	15f9fdb20731869413341f8185fecffb51c2306d1ecc76e7d4f3e08d4c743ab1	row_softmax	True	1	0.0004962999955751002	255	204
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED__reverse.npz	da9ea4c68c0f946e000a5828d83f2ae6a754e77317c5292d1feb1ec8b101e2d6	balanced_ot	True	200	0.11173489998327568	204	255
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED__reverse.npz	da9ea4c68c0f946e000a5828d83f2ae6a754e77317c5292d1feb1ec8b101e2d6	uot	True	80	0.04295440000714734	204	255
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_D1_CONTROLLED__reverse.npz	da9ea4c68c0f946e000a5828d83f2ae6a754e77317c5292d1feb1ec8b101e2d6	row_softmax	True	1	0.0005174999823793769	204	255
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED.npz	08cad387da23ede03d82d436c7c4d444b9b09c0013a9e90741b4e726bbdb2833	balanced_ot	True	200	0.6764309999998659	534	427
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED.npz	08cad387da23ede03d82d436c7c4d444b9b09c0013a9e90741b4e726bbdb2833	uot	True	80	0.28231949999462813	534	427
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED.npz	08cad387da23ede03d82d436c7c4d444b9b09c0013a9e90741b4e726bbdb2833	row_softmax	True	1	0.003050300001632422	534	427
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED__reverse.npz	d1a9c0ef1f2121f5365f38d31496432615f0c8e508d1f94f4a3aa429e7460df0	balanced_ot	True	200	0.6829575999872759	427	534
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED__reverse.npz	d1a9c0ef1f2121f5365f38d31496432615f0c8e508d1f94f4a3aa429e7460df0	uot	True	80	0.27857620001304895	427	534
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_E1_CONTROLLED__reverse.npz	d1a9c0ef1f2121f5365f38d31496432615f0c8e508d1f94f4a3aa429e7460df0	row_softmax	True	1	0.0031701000407338142	427	534
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED.npz	835c372928242d094551e833badccdc704bd76c4ec9df275ba1e0d53d0f9c989	balanced_ot	True	200	1.0142582999542356	659	527
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED.npz	835c372928242d094551e833badccdc704bd76c4ec9df275ba1e0d53d0f9c989	uot	True	80	0.43302569998195395	659	527
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED.npz	835c372928242d094551e833badccdc704bd76c4ec9df275ba1e0d53d0f9c989	row_softmax	True	1	0.004721099976450205	659	527
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED__reverse.npz	18973dc44861c9de40ec7bc1479ebead2a6a8f50fafb541ddcdeb2cf8e7b6cfb	balanced_ot	True	200	0.9974622000008821	527	659
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED__reverse.npz	18973dc44861c9de40ec7bc1479ebead2a6a8f50fafb541ddcdeb2cf8e7b6cfb	uot	True	80	0.4065689999843016	527	659
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_F1_CONTROLLED__reverse.npz	18973dc44861c9de40ec7bc1479ebead2a6a8f50fafb541ddcdeb2cf8e7b6cfb	row_softmax	True	1	0.004667400033213198	527	659
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED.npz	ef030af5c3df37ca6d76015e9779230ad156396b9c515a43302af04045f4b1ca	balanced_ot	True	200	0.5040488999802619	402	322
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED.npz	ef030af5c3df37ca6d76015e9779230ad156396b9c515a43302af04045f4b1ca	uot	True	80	0.1988372000050731	402	322
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED.npz	ef030af5c3df37ca6d76015e9779230ad156396b9c515a43302af04045f4b1ca	row_softmax	True	1	0.001375499996356666	402	322
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED__reverse.npz	be22e41ab5453210009f6a541d435ed73abf55bf69dca80ebcf71363f2ac77a1	balanced_ot	True	200	0.49906729999929667	322	402
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED__reverse.npz	be22e41ab5453210009f6a541d435ed73abf55bf69dca80ebcf71363f2ac77a1	uot	True	80	0.09755019994918257	322	402
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_G2_CONTROLLED__reverse.npz	be22e41ab5453210009f6a541d435ed73abf55bf69dca80ebcf71363f2ac77a1	row_softmax	True	1	0.0013327999622561038	322	402
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED.npz	8fb797f52f84a7d3bfab3a54c5623c131a7c138e75faba212959f8bcccddc1d5	balanced_ot	True	200	0.656135400000494	530	424
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED.npz	8fb797f52f84a7d3bfab3a54c5623c131a7c138e75faba212959f8bcccddc1d5	uot	True	80	0.2671226999955252	530	424
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED.npz	8fb797f52f84a7d3bfab3a54c5623c131a7c138e75faba212959f8bcccddc1d5	row_softmax	True	1	0.0032374999718740582	530	424
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED__reverse.npz	80446a22afdf9794a191700babccbb3c78365d1d21356ab3a60b24fe08551e71	balanced_ot	True	200	0.6903296000091359	424	530
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED__reverse.npz	80446a22afdf9794a191700babccbb3c78365d1d21356ab3a60b24fe08551e71	uot	True	80	0.27165829995647073	424	530
COMPLETED	f1af35af8e3113c0da088cc28bdf89434c91442e404fa2d4ae76aa79c1e7e05a	data/processed/p1_v2_expanded_pairs\HER2ST_H1_CONTROLLED__reverse.npz	80446a22afdf9794a191700babccbb3c78365d1d21356ab3a60b24fe08551e71	row_softmax	True	1	0.003092900034971535	424	530
