check	pass	detail
protocol_version	True	valid-ot-v1.3-post-review-correction-2026-07-16
v1.2_snapshot	True	immutable pre-correction configuration retained
semisynthetic_complete	True	"{""bases"": 4, ""fgw_status"": ""excluded_pending_objective_consistent_rerun"", ""methods"": [""balanced_ot"", ""uot"", ""row_softmax""], ""scenarios"": 6, ""seeds"": 10, ""stage"": ""V1_3_SEMISYNTHETIC"", ""status"": ""COMPLETED"", ""tasks"": 720, ""tie_handling"": ""fractional"", ""updated_utc"": ""2026-07-16T15:43:40.868079+00:00""}"
real_complete	True	"{""control_rows"": 1260, ""covariance"": ""spatial_block_cluster"", ""fgw_status"": ""excluded_pending_objective_consistent_rerun"", ""label_witness"": ""closed_set_plus_open_set"", ""method_tasks"": 42, ""pair_directions"": 14, ""stage"": ""V1_3_REAL_REANALYSIS"", ""status"": ""COMPLETED"", ""tie_handling"": ""fractional"", ""updated_utc"": ""2026-07-16T15:19:52.169328+00:00"", ""utility_rows"": 2016}"
statistics_complete	True	"{""best_qc_role"": ""hindsight_oracle_envelope_only"", ""confirmatory_ot_methods"": [""balanced_ot"", ""uot""], ""corrected_external_gate_passes"": 39, ""corrected_external_gate_passes_scope"": ""all sources, witnesses, and candidate scores; sensitivity only"", ""corrected_real_exact_combined_gate_with_controls_passes"": 0, ""corrected_real_external_gate_passes"": 17, ""corrected_real_external_gate_passes_scope"": ""all real witnesses and candidate scores before controls; sensitivity only"", ""corrected_real_external_gate_with_controls_passes"": 3, ""excluded_pending_rerun"": [""paste_fgw"", ""paste2_partial_fgw""], ""inference"": ""independent-unit equal with leave-one-unit-out sensitivity"", ""non_ot_stress_test"": [""row_softmax""], ""primary_interpretation"": ""registered combined Gate remains negative; three post-review, intervention-specific real-data signals pass corrective controls and remain exploratory"", ""real_independent_units"": 3, ""registered_v1_2_gate_passes"": 0, ""semisynthetic_independent_units"": 4, ""stage"": ""V1_3_STATISTICS"", ""status"": ""COMPLETED"", ""tie_handling"": ""fractional"", ""updated_utc"": ""2026-07-16T16:13:19.722637+00:00""}"
semisynthetic_task_count	True	tasks=720
semisynthetic_failures	True	status_files=720 completed=720
real_task_count	True	method_tasks=42
fidelity_balanced_ot_I_EXPR	True	"{""source"":""real"",""method"":""balanced_ot"",""intervention"":""I_EXPR"",""proxy"":""finite_difference_sensitivity_h001"",""biological_or_seed_pairs"":7,""independent_units"":3,""technologies"":2,""median_spearman"":0.9973633979,""median_top_decile_precision"":0.9233333333,""median_raw_mae"":0.0019653948,""median_reference_mad"":0.013708617,""median_normalized_mae"":0.159300984,""nmae_estimable_pairs"":7,""spearman_gate_margin"":0.2973633979,""top_decile_gate_margin"":0.3233333333,""nmae_gate_margin"":0.590699016,""rank_fidelity_pass"":true,""full_fidelity_pass"":true,""gate_unit"":""direction-averaged biological pair"",""inference_note"":""Gate decision only; independent-unit sensitivity reported separately""}"
fidelity_uot_I_EXPR	True	"{""source"":""real"",""method"":""uot"",""intervention"":""I_EXPR"",""proxy"":""finite_difference_sensitivity_h001"",""biological_or_seed_pairs"":7,""independent_units"":3,""technologies"":2,""median_spearman"":0.9971034334,""median_top_decile_precision"":0.93,""median_raw_mae"":0.0019844133,""median_reference_mad"":0.0162604446,""median_normalized_mae"":0.1350835375,""nmae_estimable_pairs"":7,""spearman_gate_margin"":0.2971034334,""top_decile_gate_margin"":0.33,""nmae_gate_margin"":0.6149164625,""rank_fidelity_pass"":true,""full_fidelity_pass"":true,""gate_unit"":""direction-averaged biological pair"",""inference_note"":""Gate decision only; independent-unit sensitivity reported separately""}"
